               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.023227,             0.01962,          0.00047124,             0.81568,             0.84988,             0.86162,             0.51805,            0.030488,            0.019082,          9.6951e-05,            0.002872,            0.002872,            0.002872
                  74,            0.022479,            0.018479,          0.00045971,             0.81317,             0.85368,             0.86661,             0.52084,            0.030636,            0.019433,          0.00010407,            0.002773,            0.002773,            0.002773
                  75,            0.022806,            0.018659,          0.00043411,             0.81322,             0.86437,             0.86718,             0.51846,            0.030678,            0.019331,          0.00011601,            0.002674,            0.002674,            0.002674
                  76,             0.02268,            0.019221,          0.00042496,             0.81808,             0.86282,             0.87247,             0.52673,             0.03044,            0.019169,          0.00020759,            0.002575,            0.002575,            0.002575
                  77,            0.022465,            0.018498,          0.00082309,             0.81047,             0.86432,             0.86689,             0.52133,            0.030697,            0.019094,          0.00014265,            0.002476,            0.002476,            0.002476
                  78,            0.022325,            0.018596,          0.00074312,             0.79513,             0.86496,             0.85722,             0.51228,             0.03091,            0.019761,          0.00016965,            0.002377,            0.002377,            0.002377
                  79,            0.022627,             0.01799,          0.00047423,             0.79794,             0.86253,             0.85964,              0.5174,            0.030648,              0.0198,          9.2203e-05,            0.002278,            0.002278,            0.002278
                  80,            0.022014,            0.017858,          0.00044303,              0.8019,             0.86003,             0.86853,             0.52135,             0.03089,            0.019526,          0.00012309,            0.002179,            0.002179,            0.002179
                  81,              0.0219,            0.017827,          0.00036013,             0.80478,             0.86496,             0.86565,             0.52372,            0.030556,            0.019624,            9.12e-05,             0.00208,             0.00208,             0.00208
                  82,            0.021652,            0.018097,          0.00035508,             0.78862,             0.87076,             0.85244,              0.5089,             0.03118,            0.019925,          7.9397e-05,            0.001981,            0.001981,            0.001981
                  83,            0.021765,            0.018314,          0.00041138,             0.80148,               0.864,             0.86252,             0.51582,            0.030985,            0.019686,          8.9392e-05,            0.001882,            0.001882,            0.001882
                  84,            0.021557,            0.018613,          0.00052214,             0.79138,             0.86553,             0.85778,             0.51749,            0.030786,            0.019942,          0.00011702,            0.001783,            0.001783,            0.001783
                  85,            0.021378,            0.018138,          0.00033565,             0.80995,              0.8588,              0.8639,             0.52381,            0.030623,            0.019873,          8.0526e-05,            0.001684,            0.001684,            0.001684
                  86,            0.021585,            0.017491,          0.00036749,             0.80196,             0.85475,             0.85229,             0.50995,            0.031134,            0.020092,          0.00010699,            0.001585,            0.001585,            0.001585
                  87,            0.021621,            0.019658,          0.00091746,             0.79721,             0.86864,             0.86126,             0.51997,            0.030725,             0.02035,          9.3387e-05,            0.001486,            0.001486,            0.001486
                  88,            0.021019,            0.017645,          0.00036184,             0.80533,             0.85932,             0.86096,             0.51964,            0.031231,            0.020054,           0.0001131,            0.001387,            0.001387,            0.001387
                  89,            0.021319,            0.017363,          0.00030778,             0.80767,             0.85368,             0.86085,             0.51723,             0.03102,            0.019905,          9.3729e-05,            0.001288,            0.001288,            0.001288
                  90,            0.021149,            0.017371,          0.00039587,             0.81102,             0.85646,             0.85985,             0.51234,            0.031212,            0.020302,          6.8075e-05,            0.001189,            0.001189,            0.001189
                  91,            0.021084,            0.017251,          0.00030875,             0.79583,             0.86658,             0.86248,             0.51818,             0.03103,            0.020299,          6.2469e-05,             0.00109,             0.00109,             0.00109
                  92,            0.020793,            0.017555,          0.00041501,             0.79558,             0.86327,             0.85559,             0.51212,            0.031188,            0.020103,          6.8127e-05,            0.000991,            0.000991,            0.000991
                  93,            0.020752,              0.0173,          0.00030379,             0.80067,             0.85789,             0.86114,             0.51732,            0.030943,            0.020344,          6.3793e-05,            0.000892,            0.000892,            0.000892
                  94,            0.020443,            0.017092,          0.00052353,             0.80568,             0.85291,             0.85907,             0.51646,             0.03108,             0.02028,          6.7439e-05,            0.000793,            0.000793,            0.000793
                  95,            0.020487,            0.016923,          0.00030633,             0.80135,             0.86837,             0.86521,             0.51838,            0.031058,            0.020444,          7.3415e-05,            0.000694,            0.000694,            0.000694
                  96,            0.020424,            0.016959,          0.00047217,             0.81221,             0.84739,              0.8636,             0.52139,            0.030797,            0.020389,           5.788e-05,            0.000595,            0.000595,            0.000595
                  97,            0.020374,            0.016657,           0.0002738,             0.80838,             0.85275,             0.86095,             0.51533,            0.031079,            0.020475,          5.8912e-05,            0.000496,            0.000496,            0.000496
                  98,            0.020401,             0.01683,          0.00033443,              0.8117,             0.85154,             0.86284,             0.51934,             0.03098,            0.020517,          5.4356e-05,            0.000397,            0.000397,            0.000397
                  99,            0.019929,            0.017184,          0.00055484,             0.80514,             0.85552,              0.8646,             0.52261,            0.030844,            0.020473,          5.6632e-05,            0.000298,            0.000298,            0.000298
